"","rok","tyden","natural","nafta","lpg"
"1",2014,2,36.3,36.67,18.08
"2",2014,3,36.3,36.69,18.1
"3",2014,4,36.26,36.64,18.22
"4",2014,5,36.26,36.62,18.25
"5",2014,6,36.23,36.57,18.24
"6",2014,7,36.22,36.61,18.23
"7",2014,8,36.17,36.56,18.03
"8",2014,9,36.18,36.52,17.92
"9",2014,10,36.02,36.49,17.92
"10",2014,11,35.87,36.44,17.9
"11",2014,12,35.87,36.39,17.85
"12",2014,13,35.69,36.24,17.69
"13",2014,14,35.53,36.12,17.66
"14",2014,15,35.78,36.16,17.61
"15",2014,16,35.69,36.12,17.55
"16",2014,18,36.07,36.27,17.52
"17",2014,19,36.09,36.26,17.44
"18",2014,20,36.09,36.24,17.36
"19",2014,21,36.11,36.21,17.37
"20",2014,22,36.19,36.35,17.31
"21",2014,23,36.26,36.36,17.32
"22",2014,24,36.28,36.37,17.29
"23",2014,25,36.28,36.35,17.26
"24",2014,26,36.58,36.61,17.26
"25",2014,27,36.97,36.9,17.25
"26",2014,28,36.99,36.88,17.3
"27",2014,29,36.99,36.85,17.28
"28",2014,30,36.98,36.79,17.51
"29",2014,31,36.94,36.7,17.35
"30",2014,32,36.88,36.63,17.36
"31",2014,33,36.83,36.62,17.55
"32",2014,34,36.86,36.75,17.64
"33",2014,35,36.81,36.71,17.67
"34",2014,36,36.87,36.72,17.64
"35",2014,37,36.87,36.73,17.63
"36",2014,38,36.88,36.74,17.55
"37",2014,39,36.88,36.73,17.56
"38",2014,40,36.84,36.7,17.49
"39",2014,41,36.82,36.68,17.47
"40",2014,42,36.79,36.64,17.43
"41",2014,43,36.68,36.54,17.4
"42",2014,44,36.42,36.34,17.37
"43",2014,45,36.25,36.24,17.37
"44",2014,46,35.98,36.08,17.24
"45",2013,49,36.07,36.34,17.23
"46",2013,50,36.17,36.54,17.43
"47",2013,51,36.22,36.59,17.82
"48",2021,NA,32.19,32.86,16.73
"49",2031,NA,31.4,32.28,16.27
"50",2041,NA,30.69,31.54,16.08
"51",2051,NA,30,30.87,15.96
"52",2061,NA,34.97,35.16,35.72
"53",2071,NA,29.49,30.26,15.8
"54",2081,NA,29.96,30.68,15.6
"55",2091,NA,30.49,31.29,15.62
"56",2001,NA,30.61,31.51,15.54
"57",2011,NA,31.07,31.84,15.51
"58",2021,NA,31.38,31.97,15.43
"59",2031,NA,31.55,32.06,15.4
"60",2041,NA,31.64,32.11,15.42
"61",2061,NA,31.76,32.11,15.39
"62",2071,NA,31.82,32.17,15.32
"63",2001,NA,32.63,32.81,15.2
"64",2011,NA,32.73,32.86,15.15
"65",2021,NA,32.81,32.9,15.04
"66",2031,NA,32.87,32.92,14.84
"67",2041,NA,32.9,32.94,14.76
"68",2031,NA,36.68,36.54,17.4
"69",2041,NA,36.42,36.34,17.37
"70",2051,NA,36.25,36.24,17.37
"71",2061,NA,35.98,36.08,17.24
"72",2081,NA,35.55,35.79,17.18
"73",2091,NA,35.22,35.5,17.18
"74",2001,NA,34.82,35.18,17.15
"75",2011,NA,33.98,34.52,16.9
"76",2010,1,29.61,28.14,12.85
"77",2011,1,33.65,32.78,16.91
"78",2012,1,34.95,35.59,17.22
"79",2009,2,22.63,24.25,13.89
"80",2010,2,30.35,29.02,13.17
"81",2011,2,33.49,32.62,16.9
"82",2012,2,35.54,36.07,17.32
"83",2013,2,35.16,35.72,18.27
"84",2009,3,22.36,24.05,13.77
"85",2010,3,31.01,29.59,13.53
"86",2011,3,33.35,32.53,17.11
"87",2012,3,35.65,36.22,17.41
"88",2013,3,35.22,35.67,18.2
"89",2009,4,23.94,25.48,13.54
"90",2010,4,30.81,29.39,13.66
"91",2011,4,33.54,32.93,17.29
"92",2012,4,36.25,36.91,17.46
"93",2013,4,35.5,35.89,18.19
"94",2009,5,23.8,25.14,13.43
"95",2010,5,30.65,29.25,13.81
"96",2011,5,33.38,32.74,17.6
"97",2012,5,36.21,36.82,17.5
"98",2013,5,35.47,35.92,18.17
"99",2009,6,24.18,25.01,13.38
"100",2010,6,30.51,29.06,13.99
"101",2011,6,33.24,32.63,17.68
"102",2012,6,36.14,36.72,17.51
"103",2013,6,35.82,36,18.17
"104",2009,7,24.19,24.99,13.31
"105",2010,7,30.45,29.01,14.44
"106",2011,7,33.34,32.77,17.62
"107",2012,7,36.09,36.67,17.73
"108",2013,7,36.33,36.04,18.12
"109",2009,8,24.9,24.99,13.3
"110",2010,8,30.37,28.94,14.61
"111",2011,8,33.25,32.84,17.51
"112",2012,8,36.15,36.69,17.7
"113",2013,8,36.42,36.24,18.07
"114",2009,9,25.77,25.18,13.3
"115",2010,9,30.79,29.32,14.65
"116",2011,9,33.67,33.12,17.44
"117",2012,9,36.42,36.94,17.77
"118",2013,9,36.76,36.51,18.04
"119",2009,10,25.59,25.13,13.29
"120",2010,10,31.04,29.55,14.67
"121",2011,10,34.19,33.57,17.14
"122",2012,10,36.46,36.92,17.85
"123",2013,10,36.87,36.53,18.03
"124",2009,11,25.48,25.07,13.21
"125",2010,11,31.43,29.67,14.65
"126",2011,11,34.26,33.83,17.55
"127",2012,11,36.61,36.97,18.22
"128",2013,11,36.76,36.44,18.06
"129",2009,12,25.63,25.01,13.37
"130",2010,12,31.63,29.76,14.64
"131",2011,12,34.27,33.91,17.55
"132",2012,12,36.95,37.18,18.38
"133",2013,12,36.58,36.27,17.94
"134",2009,13,25.41,24.93,13.34
"135",2010,13,31.54,29.64,14.74
"136",2011,13,34.17,33.9,17.37
"137",2012,13,37.26,37.24,18.46
"138",2013,13,36.4,36.13,17.81
"139",2009,14,25.36,24.89,13.3
"140",2011,14,34.18,33.91,17.38
"141",2012,14,37.34,37.14,18.42
"142",2009,15,26.12,25.62,13.11
"143",2010,15,31.87,30.04,14.71
"144",2011,15,34.84,34.36,17.43
"145",2013,15,36.51,36.14,17.78
"146",2010,16,32.18,30.73,14.7
"147",2011,16,35.23,34.75,17.46
"148",2012,16,37.68,36.91,18.31
"149",2013,16,36.36,36.04,17.74
"150",2009,17,26.02,25.51,12.91
"151",2010,17,32.14,30.65,14.64
"152",2012,17,37.85,36.92,18.33
"153",2013,17,36.01,35.72,17.5
"154",2009,18,26.42,25.72,12.86
"155",2010,18,32.33,30.87,14.59
"156",2011,18,35.37,34.63,17.39
"157",2012,18,37.71,36.82,18.3
"158",2013,18,35.67,35.38,17.41
"159",2009,19,26.39,25.7,12.82
"160",2010,19,32.6,31.28,14.6
"161",2011,19,35.35,34.59,17.37
"162",2012,19,37.55,36.74,18.21
"163",2013,19,35.53,35.24,17.39
"164",2009,20,26.32,25.61,12.75
"165",2010,20,32.52,31.21,14.6
"166",2011,20,35.23,34.48,17.33
"167",2012,20,37.35,36.62,18.17
"168",2013,20,35.36,35.09,17.28
"169",2009,21,27.27,26.15,12.71
"170",2010,21,32.43,31.14,14.6
"171",2011,21,35.15,34.33,17.31
"172",2012,21,37.09,36.41,18.14
"173",2013,21,35.44,35.19,17.22
"174",2009,22,27.51,26.07,12.72
"175",2010,22,32.31,31.04,14.57
"176",2011,22,34.95,34.21,17.29
"177",2012,22,36.93,36.28,18.07
"178",2013,22,35.76,35.47,17.17
"179",2009,23,27.92,25.95,12.64
"180",2010,23,32.26,31.01,14.54
"181",2011,23,35.04,34.37,17.26
"182",2012,23,36.83,36.16,18.05
"183",2013,23,35.95,35.67,17.11
"184",2009,24,27.87,26.11,12.55
"185",2010,24,32.67,31.54,14.47
"186",2011,24,34.91,34.31,17.25
"187",2012,24,36.5,35.84,17.9
"188",2013,24,36.05,35.77,17.07
"189",2009,25,28.75,26.94,12.47
"190",2010,25,32.58,31.5,14.46
"191",2011,25,34.82,34.16,17.17
"192",2012,25,36.18,35.54,17.87
"193",2013,25,36.04,35.78,17.03
"194",2009,26,29.09,27.25,12.45
"195",2010,26,32.7,31.69,14.45
"196",2011,26,34.76,34.13,17.16
"197",2012,26,35.98,35.36,17.63
"198",2013,26,36.06,35.84,17.04
"199",2009,27,29.42,27.44,12.4
"200",2009,28,29.2,27.23,12.37
"201",2010,28,32.59,31.55,14.51
"202",2011,28,34.46,33.93,17.09
"203",2012,28,35.53,34.93,17.36
"204",2013,28,36.1,35.9,16.99
"205",2009,29,28.85,26.95,12.32
"206",2010,29,32.46,31.42,14.54
"207",2011,29,34.7,34.2,16.95
"208",2012,29,35.87,35.31,17.16
"209",2013,29,36.56,36.43,16.94
"210",2009,30,28.55,26.61,12.3
"211",2010,30,32.34,31.31,14.57
"212",2011,30,35.3,34.88,16.95
"213",2012,30,36.07,35.56,17.07
"214",2013,30,36.89,36.63,16.93
"215",2009,31,28.26,26.36,12.25
"216",2010,31,32.17,31.16,14.5
"217",2011,31,35.24,34.78,16.92
"218",2012,31,36.58,36.05,17.1
"219",2013,31,36.98,36.65,16.92
"220",2009,32,28.55,26.7,12.21
"221",2010,32,31.97,30.96,14.46
"222",2011,32,35.1,34.65,16.91
"223",2012,32,36.51,35.97,17.01
"224",2013,32,36.9,36.56,16.89
"225",2009,33,28.58,26.52,12.19
"226",2010,33,31.84,30.86,14.48
"227",2011,33,34.81,34.37,16.94
"228",2012,33,36.78,36.06,16.98
"229",2013,33,36.85,36.51,16.91
"230",2009,34,29.33,27.05,12.2
"231",2010,34,31.72,30.77,14.45
"232",2011,34,34.46,34,16.95
"233",2012,34,37.36,36.64,17.04
"234",2013,34,36.78,36.46,16.88
"235",2009,35,29.12,26.9,12.2
"236",2010,35,31.51,30.62,14.41
"237",2011,35,34.29,33.89,16.91
"238",2012,35,38.04,37.21,16.96
"239",2013,35,36.82,36.52,16.9
"240",2009,36,28.96,26.84,12.19
"241",2010,36,31.4,30.53,14.4
"242",2011,36,34.16,33.71,16.93
"243",2012,36,38.12,37.25,16.97
"244",2013,36,36.82,36.51,16.94
"245",2009,37,28.81,26.75,12.2
"246",2010,37,31.47,30.49,14.39
"247",2011,37,34.73,34.54,16.85
"248",2012,37,38.08,37.22,17.03
"249",2013,37,37.07,36.81,16.97
"250",2009,38,28.59,26.6,12.22
"251",2010,38,31.63,30.69,14.4
"252",2011,38,34.89,34.67,16.81
"253",2012,38,38.51,37.23,17.4
"254",2013,38,37.02,36.8,17.2
"255",2009,39,28.26,26.35,12.25
"256",2011,39,34.84,34.6,16.77
"257",2013,39,36.8,36.72,17.2
"258",2009,40,27.93,26.07,12.17
"259",2010,40,31.38,30.54,14.34
"260",2011,40,34.83,34.6,16.79
"261",2012,40,37.93,36.92,17.66
"262",2013,40,36.54,36.51,17.09
"263",2009,41,27.67,25.86,12.08
"264",2010,41,31.24,30.47,14.32
"265",2011,41,34.71,34.51,16.8
"266",2012,41,37.91,36.96,17.66
"267",2013,41,36.32,36.35,17.05
"268",2009,42,27.46,25.74,11.99
"269",2010,42,31.52,30.72,14.36
"270",2011,42,34.73,34.63,16.76
"271",2012,42,37.78,36.9,17.8
"272",2013,42,35.98,36.18,16.93
"273",2009,43,27.43,26.05,11.95
"274",2010,43,31.57,30.62,14.38
"275",2012,43,37.63,37.05,17.81
"276",2013,43,35.78,36.09,17.02
"277",2009,44,27.95,26.56,11.96
"278",2010,44,31.46,30.63,14.38
"279",2011,44,34.87,34.99,16.72
"280",2012,44,37.24,36.96,17.79
"281",2009,45,28.47,27,11.96
"282",2010,45,31.38,30.52,14.38
"283",2011,45,34.78,34.96,16.75
"284",2012,45,36.77,36.83,17.83
"285",2013,45,35.56,35.91,17.03
"286",2009,46,28.74,27.18,12.06
"287",2010,46,31.38,30.59,14.62
"288",2011,46,34.88,35.09,16.81
"289",2012,46,36.16,36.49,17.8
"290",2013,46,35.51,35.87,17.01
"291",2009,47,28.68,27.14,12.47
"292",2010,47,31.76,31.11,15
"293",2011,47,35.17,35.56,16.77
"294",2012,47,35.76,36.22,17.96
"295",2013,47,35.49,35.86,17.16
"296",2009,48,28.58,27.06,12.58
"297",2010,48,31.61,30.95,14.89
"298",2011,48,35.13,35.63,16.83
"299",2012,48,35.49,36.15,18.07
"300",2013,48,35.99,36.26,17.55
"301",2009,49,28.72,27.17,12.65
"302",2010,49,31.91,31.18,15.62
"303",2011,49,35.05,35.66,17.18
"304",2012,49,35.36,36.13,18.09
"305",2009,50,28.57,27.05,12.73
"306",2010,50,33.04,32.11,16.7
"307",2011,50,34.96,35.59,17.2
"308",2012,50,35.19,35.99,18.21
"309",2009,51,28.47,27,12.76
"310",2011,51,34.89,35.53,17.2
"311",2012,51,34.99,35.71,18.25
